Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 7,500,000","3bdrm House in Tabasamu Annex, Kalimoni for Sale","3 Bedroom Houses available for viewing. 
Other Features:
- Gypsum Ceiling
- 1 Bedroom Master...","Kiambu, Juja",3 bedrooms,2 bathrooms,Unfurnished,300sqm
"KSh 16,500,000",4bdrm Maisonette in Milimani Estate for Sale,"I am selling a 4bedroom massionate sitted on a 40*80 plot in membley estate
The house is complete...","Kiambu, Ruiru",4 bedrooms,3 bathrooms,Unfurnished,165sqm
"KSh 4,325,000","2bdrm Block of Flats in Estate, Old Junction for sale","Affordable Housing in Ruiru
Most of the blocks are done already
Completion by August 2025
Parking...","Kiambu, Ruiru",2 bedrooms,2 bathrooms,Unfurnished,75sqm
"KSh 4,500,000",Studio Apartment in Kilimani for sale,"Property description
* modern studio apartment 
* open plan kitchen
* spacious bed area
* quality...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,35sqm
"KSh 35,000,000","Furnished 4bdrm Mansion in Palm Tree, Ukunda for sale","Four bedroom mansion in diani! @
looking for a luxurious houses? this is one of a kind located in...","Kwale, Ukunda",4 bedrooms,5 bathrooms,Furnished,1000sqm
"KSh 8,800,000","2bdrm Apartment in Kcc Estate, Umoja I for sale","3bedroomed house for sale.* 
Plus a one room
Located in Nairobi -Umoja K.C.C Estate.
The house also...","Nairobi, Umoja",2 bedrooms,3 bathrooms,Unfurnished,10sqm
"KSh 6,500,000",3bdrm Bungalow in Rimpa for Sale,"Newly built 3 bedroom bungalow in a gated community.
Modern finishes with Spacious Lounge and...","Kajiado, Ongata Rongai",3 bedrooms,2 bathrooms,Semi-Furnished,200sqm
"KSh 42,000,000",4bdrm Townhouse/Terrace in Loresho Ridge Estate for sale,"Property type: House 
Offer type: For sale 
County: Nairobi 
Town / Neighborhood: Loresho 
Street /...","Nairobi, Westlands",4 bedrooms,5 bathrooms,Unfurnished,245sqm
"KSh 15,000,000","4bdrm Maisonette in Transview, Mombasa Road for Sale","4bedroom town house for sale. With SQ With a kitchenette,shower and toilet. Laundry and washing area...","Nairobi, Mombasa Road",4 bedrooms,4 bathrooms,Unfurnished,450sqm
"KSh 7,300,000",1bdrm Apartment in Kileleshwa Estate for sale,"Purchase these very spacious and very luxurious 1 bedroom
apartments in Kileleshwa
CONSTRUCTION...","Nairobi, Kileleshwa",1 bedroom,2 bathrooms,Unfurnished,78sqm
"KSh 12,500,000",4bdrm Bungalow in Nakuru Town West for sale,"4 bedrooms bungalow for sale at Sobea sitting on a quarter of an acre of land. 
300 meters from the...","Nakuru, Nakuru Town West",4 bedrooms,2 bathrooms,Unfurnished,1011sqm
"KSh 28,600,000","7bdrm Maisonette in 58, Nakuru Town West for sale","7bedrooms mansionatte plus SQ and car garage for sale at Sec 58. 
Sitting on 50×100.","Nakuru, Nakuru Town West",7 bedrooms,4 bathrooms,Unfurnished,5000sqm
"KSh 36,500,000",6bdrm Maisonette in Nakuru Town West for sale,"6 bedrooms mansionatte plus 2bedroom SQ,
Sitting on 2/3 of an acre at Upper Hill near the Bush Lodge...","Nakuru, Nakuru Town West",6 bedrooms,3 bathrooms,Semi-Furnished,2697sqm
"KSh 30,000,000",4bdrm Apartment in Kileleshwa for sale,"Features and Amenities
Fully-equipped Gym Dedicated Fitness Center for Ladies
Infinity Swimming...","Nairobi, Kileleshwa",4 bedrooms,3 bathrooms,Unfurnished,3200sqm
"KSh 7,300,000",1bdrm Apartment in Kileleshwa Estate for sale,"Purchase these spacious and very luxurious 1 bedroom
apartments in Kileleshwa
CONSTRUCTION...","Nairobi, Kileleshwa",1 bedroom,2 bathrooms,Unfurnished,78sqm
"KSh 9,500,000","3bdrm Apartment in Kings Millennium, City Cabanas for sale",Three bedroom all ensuite,"Nairobi, Imara Daima",3 bedrooms,3 bathrooms,Unfurnished,1330sqm
"KSh 9,100,000","2bdrm Apartment in Muringa Road, Hurlingham for sale","Exquisite 2 & 3 bedroom apartment for sale in kilimani from kes 9,100,000
to be completed by july...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,82sqm
"KSh 5,800,000",1bdrm Apartment in Kilimani for sale,"Gym
Borehole
Kids play area
Cctv
Electric fence
Backup generator","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,60sqm
"KSh 12,000,000","3bdrm Apartment in Bridgeview Park, Uthiru for sale",This is a beautiful gated community project which is creatively designed to fit in the serene...,"Nairobi, Dagoretti",3 bedrooms,2 bathrooms,Unfurnished,127sqm
"KSh 12,500,000",2bdrm Apartment in Kilimani for sale,"Beautiful 2Bedroom Apartment For Sale in kilimani near Prestige and Yaya Centre
Swimming pool
Gym...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,112sqm
"KSh 12,500,000","2bdrm Apartment in Westlands, Raphta Road Area for sale","1 & 2 Bedroom Apartments for sale Along Rhapta Road in Westlands, all the 2 bedrooms are...","Nairobi, Westlands",2 bedrooms,3 bathrooms,Unfurnished,110sqm
"KSh 21,500,000",3bdrm Apartment in Kileleshwa for Sale,"3 Bedroom all en-suite with a DSQ
Size; 207Sqm/2227Sqft – ksh 21.5M
 Features and...","Nairobi, Kileleshwa",3 bedrooms,4 bathrooms,Unfurnished,207sqm
"KSh 18,000,000","4bdrm Apartment in Lavington, Maziwa for sale",This is a well-lit 4 bedroom two (2) ensuite apartment located off King’ara Road. The apartment is...,"Nairobi, Lavington",4 bedrooms,2 bathrooms,Unfurnished,136sqm
